#STATE  ENERGY(cm^{-1})  SPIN
 
     971:   1363.216925  13.00
     972:   1363.216925  13.00
     973:   1363.216925  13.00
     974:   1363.216925  13.00
     975:   1363.216925  13.00
     976:   1363.216925  13.00
     977:   1363.216925  13.00
     978:   1363.216925  13.00
     979:   1363.216925  13.00
     980:   1363.216925  13.00
     981:   1363.216925  13.00
     982:   1374.815086  15.00
     983:   1374.815086  15.00
     984:   1374.815086  15.00
     985:   1374.815086  15.00
     986:   1374.815086  15.00
     987:   1374.815086  15.00
     988:   1374.815086  15.00
     989:   1374.815086  15.00
     990:   1374.815086  15.00
     991:   1374.815086  15.00
     992:   1374.815086  15.00
     993:   1374.815086  15.00
     994:   1374.815086  15.00
     995:   1374.815086  15.00
     996:   1374.815086  15.00
     997:   1434.520146  15.00
     998:   1434.520146  15.00
     999:   1434.520146  15.00
    1000:   1434.520146  15.00
    1001:   1434.520146  15.00
    1002:   1434.520146  15.00
    1003:   1434.520146  15.00
    1004:   1434.520146  15.00
    1005:   1434.520146  15.00
    1006:   1434.520146  15.00
    1007:   1434.520146  15.00
    1008:   1434.520146  15.00
    1009:   1434.520146  15.00
    1010:   1434.520146  15.00
    1011:   1434.520146  15.00
    1012:   1778.419947  15.00
    1013:   1778.419947  15.00
    1014:   1778.419947  15.00
    1015:   1778.419947  15.00
    1016:   1778.419947  15.00
    1017:   1778.419947  15.00
    1018:   1778.419947  15.00
    1019:   1778.419947  15.00
    1020:   1778.419947  15.00
    1021:   1778.419947  15.00
    1022:   1778.419947  15.00
    1023:   1778.419947  15.00
    1024:   1778.419947  15.00
    1025:   1778.419947  15.00
    1026:   1778.419947  15.00
    1027:   1856.781676  15.00
    1028:   1856.781676  15.00
    1029:   1856.781676  15.00
    1030:   1856.781676  15.00
    1031:   1856.781676  15.00
    1032:   1856.781676  15.00
    1033:   1856.781676  15.00
    1034:   1856.781676  15.00
    1035:   1856.781676  15.00
    1036:   1856.781676  15.00
    1037:   1856.781676  15.00
    1038:   1856.781676  15.00
    1039:   1856.781676  15.00
    1040:   1856.781676  15.00
    1041:   1856.781676  15.00
    1042:   1949.177695  15.00
    1043:   1949.177695  15.00
    1044:   1949.177695  15.00
    1045:   1949.177695  15.00
    1046:   1949.177695  15.00
    1047:   1949.177695  15.00
    1048:   1949.177695  15.00
    1049:   1949.177695  15.00
    1050:   1949.177695  15.00
    1051:   1949.177695  15.00
    1052:   1949.177695  15.00
    1053:   1949.177695  15.00
    1054:   1949.177695  15.00
    1055:   1949.177695  15.00
    1056:   1949.177695  15.00
    1057:   2105.762857  15.00
    1058:   2105.762857  15.00
    1059:   2105.762857  15.00
    1060:   2105.762857  15.00
    1061:   2105.762857  15.00
    1062:   2105.762857  15.00
    1063:   2105.762857  15.00
    1064:   2105.762857  15.00
    1065:   2105.762857  15.00
    1066:   2105.762857  15.00
    1067:   2105.762857  15.00
    1068:   2105.762857  15.00
    1069:   2105.762857  15.00
    1070:   2105.762857  15.00
    1071:   2105.762857  15.00
    1072:   2198.945872  15.00
    1073:   2198.945872  15.00
    1074:   2198.945872  15.00
    1075:   2198.945872  15.00
    1076:   2198.945872  15.00
    1077:   2198.945872  15.00
    1078:   2198.945872  15.00
    1079:   2198.945872  15.00
    1080:   2198.945872  15.00
    1081:   2198.945872  15.00
    1082:   2198.945872  15.00
    1083:   2198.945872  15.00
    1084:   2198.945872  15.00
    1085:   2198.945872  15.00
    1086:   2198.945872  15.00
    1087:   2318.717410  15.00
    1088:   2318.717410  15.00
    1089:   2318.717410  15.00
    1090:   2318.717410  15.00
    1091:   2318.717410  15.00
    1092:   2318.717410  15.00
    1093:   2318.717410  15.00
    1094:   2318.717410  15.00
    1095:   2318.717410  15.00
    1096:   2318.717410  15.00
    1097:   2318.717410  15.00
    1098:   2318.717410  15.00
    1099:   2318.717410  15.00
    1100:   2318.717410  15.00
    1101:   2318.717410  15.00
    1102:   2423.617137  15.00
    1103:   2423.617137  15.00
    1104:   2423.617137  15.00
    1105:   2423.617137  15.00
    1106:   2423.617137  15.00
    1107:   2423.617137  15.00
    1108:   2423.617137  15.00
    1109:   2423.617137  15.00
    1110:   2423.617137  15.00
    1111:   2423.617137  15.00
    1112:   2423.617137  15.00
    1113:   2423.617137  15.00
    1114:   2423.617137  15.00
    1115:   2423.617137  15.00
    1116:   2423.617137  15.00
    1117:   2557.279788  17.00
    1118:   2557.279788  17.00
    1119:   2557.279788  17.00
    1120:   2557.279788  17.00
    1121:   2557.279788  17.00
    1122:   2557.279788  17.00
    1123:   2557.279788  17.00
    1124:   2557.279788  17.00
    1125:   2557.279788  17.00
    1126:   2557.279788  17.00
    1127:   2557.279788  17.00
    1128:   2557.279788  17.00
    1129:   2557.279788  17.00
    1130:   2557.279788  17.00
    1131:   2557.279788  17.00
    1132:   2557.279788  17.00
    1133:   2557.279788  17.00
    1134:   3050.853063  17.00
    1135:   3050.853063  17.00
    1136:   3050.853063  17.00
    1137:   3050.853063  17.00
    1138:   3050.853063  17.00
    1139:   3050.853063  17.00
    1140:   3050.853063  17.00
    1141:   3050.853063  17.00
    1142:   3050.853063  17.00
    1143:   3050.853063  17.00
    1144:   3050.853063  17.00
    1145:   3050.853063  17.00
    1146:   3050.853063  17.00
    1147:   3050.853063  17.00
    1148:   3050.853063  17.00
    1149:   3050.853063  17.00
    1150:   3050.853063  17.00
    1151:   3116.423248  17.00
    1152:   3116.423248  17.00
    1153:   3116.423248  17.00
    1154:   3116.423248  17.00
    1155:   3116.423248  17.00
    1156:   3116.423248  17.00
    1157:   3116.423248  17.00
    1158:   3116.423248  17.00
    1159:   3116.423248  17.00
    1160:   3116.423248  17.00
    1161:   3116.423248  17.00
    1162:   3116.423248  17.00
    1163:   3116.423248  17.00
    1164:   3116.423248  17.00
    1165:   3116.423248  17.00
    1166:   3116.423248  17.00
    1167:   3116.423248  17.00
    1168:   3465.771215  17.00
    1169:   3465.771215  17.00
    1170:   3465.771215  17.00
    1171:   3465.771215  17.00
    1172:   3465.771215  17.00
    1173:   3465.771215  17.00
    1174:   3465.771215  17.00
    1175:   3465.771215  17.00
    1176:   3465.771215  17.00
    1177:   3465.771215  17.00
    1178:   3465.771215  17.00
    1179:   3465.771215  17.00
    1180:   3465.771215  17.00
    1181:   3465.771215  17.00
    1182:   3465.771215  17.00
    1183:   3465.771215  17.00
    1184:   3465.771215  17.00
    1185:   3537.646369  17.00
    1186:   3537.646369  17.00
    1187:   3537.646369  17.00
    1188:   3537.646369  17.00
    1189:   3537.646369  17.00
    1190:   3537.646369  17.00
    1191:   3537.646369  17.00
    1192:   3537.646369  17.00
    1193:   3537.646369  17.00
    1194:   3537.646369  17.00
    1195:   3537.646369  17.00
    1196:   3537.646369  17.00
    1197:   3537.646369  17.00
    1198:   3537.646369  17.00
    1199:   3537.646369  17.00
    1200:   3537.646369  17.00
    1201:   3537.646369  17.00
    1202:   3641.641631  17.00
    1203:   3641.641631  17.00
    1204:   3641.641631  17.00
    1205:   3641.641631  17.00
    1206:   3641.641631  17.00
    1207:   3641.641631  17.00
    1208:   3641.641631  17.00
    1209:   3641.641631  17.00
    1210:   3641.641631  17.00
    1211:   3641.641631  17.00
    1212:   3641.641631  17.00
    1213:   3641.641631  17.00
    1214:   3641.641631  17.00
    1215:   3641.641631  17.00
    1216:   3641.641631  17.00
    1217:   3641.641631  17.00
    1218:   3641.641631  17.00
    1219:   4444.393144  19.00
    1220:   4444.393144  19.00
    1221:   4444.393144  19.00
    1222:   4444.393144  19.00
    1223:   4444.393144  19.00
    1224:   4444.393144  19.00
    1225:   4444.393144  19.00
    1226:   4444.393144  19.00
    1227:   4444.393144  19.00
    1228:   4444.393144  19.00
    1229:   4444.393144  19.00
    1230:   4444.393144  19.00
    1231:   4444.393144  19.00
    1232:   4444.393144  19.00
    1233:   4444.393144  19.00
    1234:   4444.393144  19.00
    1235:   4444.393144  19.00
    1236:   4444.393144  19.00
    1237:   4444.393144  19.00
    1238:   4939.681832  19.00
    1239:   4939.681832  19.00
    1240:   4939.681832  19.00
    1241:   4939.681832  19.00
    1242:   4939.681832  19.00
    1243:   4939.681832  19.00
    1244:   4939.681832  19.00
    1245:   4939.681832  19.00
    1246:   4939.681832  19.00
    1247:   4939.681832  19.00
    1248:   4939.681832  19.00
    1249:   4939.681832  19.00
    1250:   4939.681832  19.00
    1251:   4939.681832  19.00
    1252:   4939.681832  19.00
    1253:   4939.681832  19.00
    1254:   4939.681832  19.00
    1255:   4939.681832  19.00
    1256:   4939.681832  19.00
    1257:   5012.260731  19.00
    1258:   5012.260731  19.00
    1259:   5012.260731  19.00
    1260:   5012.260731  19.00
    1261:   5012.260731  19.00
    1262:   5012.260731  19.00
    1263:   5012.260731  19.00
    1264:   5012.260731  19.00
    1265:   5012.260731  19.00
    1266:   5012.260731  19.00
    1267:   5012.260731  19.00
    1268:   5012.260731  19.00
    1269:   5012.260731  19.00
    1270:   5012.260731  19.00
    1271:   5012.260731  19.00
    1272:   5012.260731  19.00
    1273:   5012.260731  19.00
    1274:   5012.260731  19.00
    1275:   5012.260731  19.00
    1276:   6543.788957  21.00
    1277:   6543.788957  21.00
    1278:   6543.788957  21.00
    1279:   6543.788957  21.00
    1280:   6543.788957  21.00
    1281:   6543.788957  21.00
    1282:   6543.788957  21.00
    1283:   6543.788957  21.00
    1284:   6543.788957  21.00
    1285:   6543.788957  21.00
    1286:   6543.788957  21.00
    1287:   6543.788957  21.00
    1288:   6543.788957  21.00
    1289:   6543.788957  21.00
    1290:   6543.788957  21.00
    1291:   6543.788957  21.00
    1292:   6543.788957  21.00
    1293:   6543.788957  21.00
    1294:   6543.788957  21.00
    1295:   6543.788957  21.00
    1296:   6543.788957  21.00
